Facility ID,"Patients who gave a rating of ""6"" or lower (low)","Patients who gave a rating of ""7"" or ""8"" (medium)","Patients who gave a rating of ""9"" or ""10"" (high)","Doctors ""always"" communicated well","Doctors ""always"" explained things so they could understand","Doctors ""always"" listened carefully","Doctors ""always"" treated them with courtesy and  respect","Doctors ""sometimes"" or ""never"" communicated well","Doctors ""sometimes"" or ""never"" explained things so they could understand","Doctors ""sometimes"" or ""never"" listened carefully","Doctors ""sometimes"" or ""never"" treated them with courtesy and  respect","Doctors ""usually""  treated them with courtesy and  respect","Doctors ""usually"" communicated well","Doctors ""usually"" explained things so they could understand","Doctors ""usually"" listened carefully"
10001.0,8.0,21.0,71.0,78.0,73.0,76.0,84.0,4.0,5.0,5.0,4.0,12.0,18.0,22.0,19.0
10005.0,9.0,22.0,69.0,81.0,77.0,79.0,87.0,4.0,4.0,4.0,3.0,10.0,15.0,19.0,17.0
10006.0,16.0,24.0,60.0,75.0,69.0,73.0,82.0,8.0,9.0,9.0,5.0,13.0,17.0,22.0,18.0
10007.0,2.0,25.0,73.0,84.0,82.0,81.0,90.0,1.0,1.0,3.0,1.0,9.0,15.0,17.0,16.0
10008.0,3.0,19.0,78.0,91.0,73.72244205765969,77.30949689089881,85.2984737139627,2.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,7.0,19.886093838326737,16.945449406444318
10011.0,9.0,25.0,66.0,78.0,73.0,76.0,85.0,5.0,6.0,5.0,4.0,11.0,17.0,21.0,19.0
10012.0,11.0,25.0,64.0,86.0,82.0,84.0,91.0,4.0,4.0,5.0,3.0,6.0,10.0,14.0,11.0
10016.0,11.0,27.0,62.0,79.0,73.0,77.0,86.0,5.0,6.0,6.0,3.0,11.0,16.0,21.0,17.0
10018.0,1.0,12.0,87.0,92.0,73.72244205765969,77.30949689089881,85.2984737139627,1.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,7.0,19.886093838326737,16.945449406444318
10019.0,5.0,18.0,77.0,82.0,79.0,81.0,86.0,3.0,3.0,3.0,3.0,11.0,15.0,18.0,16.0
10021.0,5.0,21.0,74.0,88.0,86.0,88.0,90.0,1.0,2.0,1.0,1.0,9.0,11.0,12.0,11.0
10022.0,9.0,13.0,78.0,86.0,73.72244205765969,77.30949689089881,85.2984737139627,5.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,9.0,19.886093838326737,16.945449406444318
10023.0,10.0,21.0,69.0,76.0,71.0,74.0,83.0,6.0,7.0,6.0,5.0,12.0,18.0,22.0,20.0
10024.0,10.0,21.0,69.0,76.0,71.0,75.0,82.0,6.0,8.0,6.0,4.0,14.0,18.0,21.0,19.0
10029.0,8.0,22.0,70.0,82.0,76.0,81.0,89.0,4.0,4.0,5.0,2.0,9.0,14.0,20.0,14.0
10033.0,7.0,17.0,76.0,83.0,78.0,82.0,90.0,4.0,5.0,4.0,2.0,8.0,13.0,17.0,14.0
10034.0,10.0,16.0,74.0,84.0,79.0,81.0,91.0,4.0,4.0,6.0,3.0,6.0,12.0,17.0,13.0
10035.0,13.0,25.0,62.0,74.0,70.0,71.0,81.0,6.0,7.0,6.0,5.0,14.0,20.0,23.0,23.0
10036.0,8.0,25.0,67.0,83.0,75.0,85.0,90.0,4.0,5.0,4.0,3.0,7.0,13.0,20.0,11.0
10039.0,8.0,22.0,70.0,78.0,71.0,78.0,86.0,5.0,6.0,5.0,3.0,11.0,17.0,23.0,17.0
10040.0,15.0,28.0,57.0,74.0,68.0,72.0,81.0,8.0,9.0,8.0,6.0,13.0,18.0,23.0,20.0
10044.0,0.0,11.0,89.0,86.0,73.72244205765969,77.30949689089881,85.2984737139627,1.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,13.0,19.886093838326737,16.945449406444318
10045.0,2.0,10.0,88.0,89.0,85.0,89.0,91.0,1.0,1.0,2.0,1.0,8.0,10.0,14.0,9.0
10046.0,8.0,23.0,69.0,75.0,71.0,72.0,81.0,9.0,10.0,10.0,7.0,12.0,16.0,19.0,18.0
10049.0,10.0,26.0,64.0,82.0,79.0,81.0,88.0,4.0,5.0,4.0,3.0,9.0,14.0,16.0,15.0
10052.0,3.0,25.0,72.0,86.0,81.0,86.0,91.0,2.0,1.0,2.0,5.0,4.0,12.0,18.0,12.0
10055.0,9.0,18.0,73.0,80.0,75.0,78.0,86.0,5.0,5.0,6.0,3.0,11.0,15.0,20.0,16.0
10056.0,7.0,21.0,72.0,82.0,77.0,82.0,88.0,3.0,4.0,4.0,2.0,10.0,15.0,19.0,14.0
10058.0,2.0,8.0,90.0,94.0,73.72244205765969,77.30949689089881,85.2984737139627,1.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,5.0,19.886093838326737,16.945449406444318
10059.0,14.0,35.0,51.0,85.0,73.72244205765969,77.30949689089881,85.2984737139627,5.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,10.0,19.886093838326737,16.945449406444318
10061.0,11.0,30.0,59.0,80.0,77.0,79.0,84.0,5.0,7.0,6.0,3.0,13.0,15.0,16.0,15.0
10062.0,5.0,29.0,66.0,91.0,73.72244205765969,77.30949689089881,85.2984737139627,3.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,6.0,19.886093838326737,16.945449406444318
10065.0,9.0,25.0,66.0,78.0,72.0,77.0,85.0,5.0,6.0,6.0,5.0,10.0,17.0,22.0,17.0
10069.0,8.0,24.0,68.0,82.0,80.0,79.0,88.0,6.0,4.0,8.0,4.0,8.0,12.0,16.0,13.0
10073.0,5.0,20.0,75.0,84.0,82.0,81.0,89.0,6.0,6.0,8.0,4.0,7.0,10.0,12.0,11.0
10078.0,14.0,28.0,58.0,73.0,70.0,69.0,81.0,7.0,9.0,8.0,5.0,14.0,20.0,21.0,23.0
10079.0,6.0,20.0,74.0,83.0,78.0,82.0,90.0,4.0,5.0,4.0,2.0,8.0,13.0,17.0,14.0
10083.0,7.0,21.0,72.0,83.0,79.0,81.0,89.0,4.0,4.0,4.0,2.0,9.0,13.0,17.0,15.0
10085.0,12.0,23.0,65.0,80.0,73.0,78.0,89.0,5.0,7.0,6.0,4.0,7.0,15.0,20.0,16.0
10086.0,6.0,15.0,79.0,83.0,83.0,79.0,88.0,3.0,5.0,3.0,1.0,11.0,14.0,12.0,18.0
10087.0,9.0,23.0,68.0,79.0,74.0,76.0,85.0,5.0,6.0,6.0,4.0,11.0,16.0,20.0,18.0
10089.0,14.0,29.0,57.0,79.0,74.0,78.0,85.0,6.0,7.0,6.0,4.0,11.0,15.0,19.0,16.0
10090.0,11.0,23.0,66.0,74.0,67.0,75.0,82.0,8.0,11.0,8.0,6.0,12.0,18.0,22.0,17.0
10091.0,0.0,11.0,89.0,90.0,73.72244205765969,77.30949689089881,85.2984737139627,2.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,8.0,19.886093838326737,16.945449406444318
10092.0,11.0,26.0,63.0,78.0,74.0,76.0,84.0,6.0,6.0,7.0,5.0,11.0,16.0,20.0,17.0
10095.0,2.0,11.0,87.0,93.0,94.0,92.0,94.0,3.0,2.0,4.0,5.0,1.0,4.0,4.0,4.0
10097.0,4.0,17.0,79.0,92.0,91.0,91.0,94.0,2.0,1.0,1.0,3.0,3.0,6.0,8.0,8.0
10099.0,5.0,23.0,72.0,86.0,83.0,85.0,92.0,1.0,1.0,2.0,1.0,7.0,13.0,16.0,13.0
10100.0,9.0,20.0,71.0,78.0,70.0,78.0,86.0,6.0,7.0,6.0,3.0,11.0,16.0,23.0,16.0
10101.0,14.0,21.0,65.0,74.0,68.0,71.0,81.0,11.0,11.0,12.0,10.0,9.0,15.0,21.0,17.0
10103.0,10.0,21.0,69.0,81.0,77.0,80.0,87.0,5.0,5.0,5.0,3.0,10.0,14.0,18.0,15.0
10104.0,8.0,18.0,74.0,80.0,74.0,80.0,87.0,5.0,6.0,5.0,4.0,9.0,15.0,20.0,15.0
10108.0,4.0,18.0,78.0,81.0,76.0,78.0,89.0,4.0,5.0,4.0,3.0,8.0,15.0,19.0,18.0
10110.0,23.0,27.0,50.0,77.0,73.72244205765969,77.30949689089881,85.2984737139627,7.0,6.391464104013567,5.745053702656868,3.671848501978519,11.02967778405879,16.0,19.886093838326737,16.945449406444318
10112.0,11.0,21.0,68.0,83.0,81.0,79.0,89.0,5.0,6.0,5.0,5.0,6.0,12.0,13.0,16.0
10113.0,12.0,21.0,67.0,78.0,72.0,76.0,85.0,6.0,7.0,7.0,3.0,12.0,16.0,21.0,17.0
10114.0,13.0,30.0,57.0,82.0,77.0,79.0,88.0,6.0,7.0,7.0,4.0,8.0,12.0,16.0,14.0
10118.0,22.0,29.0,49.0,76.0,70.0,75.0,83.0,8.0,10.0,7.0,6.0,11.0,16.0,20.0,18.0
10120.0,1.0,29.0,70.0,83.0,75.0,83.0,92.0,2.0,5.0,1.0,0.0,8.0,15.0,20.0,16.0
10125.0,3.0,16.0,81.0,82.0,80.0,80.0,85.0,3.0,2.0,5.0,4.0,11.0,15.0,18.0,15.0
10126.0,6.0,18.0,76.0,85.0,80.0,84.0,90.0,5.0,6.0,4.0,5.0,5.0,10.0,14.0,12.0
